Dates,Category,Descript,DayOfWeek,PdDistrict,Resolution,Address,X,Y
2012-12-30 23:49:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Sunday,MISSION,NONE,2400 Block of MISSION ST,-122.419025267752,37.7576134671742
2012-12-30 23:25:00,ASSAULT,BATTERY,Sunday,SOUTHERN,NONE,100 Block of 4TH ST,-122.4039407276,37.784300707234394
2012-12-30 23:10:00,WARRANTS,POST RELEASE COMMUNITY SUPERVISION,Sunday,SOUTHERN,"ARREST, BOOKED",1200 Block of FOLSOM ST,-122.410802477808,37.7743299153836
2012-12-30 23:10:00,SECONDARY CODES,DOMESTIC VIOLENCE,Sunday,SOUTHERN,"ARREST, BOOKED",MARKET ST / 3RD ST,-122.403434086745,37.78764305018
2012-12-30 23:10:00,WARRANTS,ENROUTE TO PROBATION OFFICER,Sunday,SOUTHERN,"ARREST, BOOKED",1200 Block of FOLSOM ST,-122.410802477808,37.7743299153836
2012-12-30 23:10:00,ASSAULT,"BATTERY, FORMER SPOUSE OR DATING RELATIONSHIP",Sunday,SOUTHERN,"ARREST, BOOKED",MARKET ST / 3RD ST,-122.403434086745,37.78764305018
2012-12-30 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,MISSION,NONE,2200 Block of MISSION ST,-122.419350173229,37.76101609120561
2012-12-30 23:00:00,NON-CRIMINAL,LOST PROPERTY,Sunday,INGLESIDE,NONE,BERNALHTS BL / ANDERSON ST,-122.41501652838801,37.7421835425926
2012-12-30 23:00:00,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,SOUTHERN,NONE,200 Block of BRYANT ST,-122.39071699033899,37.7852097591599
2012-12-30 23:00:00,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Sunday,RICHMOND,NONE,3700 Block of CALIFORNIA ST,-122.455468425157,37.786210973675
2012-12-30 22:46:00,ASSAULT,BATTERY OF A POLICE OFFICER,Sunday,INGLESIDE,"ARREST, BOOKED",0 Block of CHENERY ST,-122.425624488895,37.7409495166569
2012-12-30 22:46:00,WEAPON LAWS,"FLAMMABLE OR EXPLOSIVE DEVICE, POSSESSION",Sunday,INGLESIDE,"ARREST, BOOKED",0 Block of CHENERY ST,-122.425624488895,37.7409495166569
2012-12-30 22:46:00,ARSON,ATTEMPTED ARSON,Sunday,INGLESIDE,"ARREST, BOOKED",0 Block of CHENERY ST,-122.425624488895,37.7409495166569
2012-12-30 22:30:00,LARCENY/THEFT,PETTY THEFT OF PROPERTY,Sunday,NORTHERN,NONE,1700 Block of POLK ST,-122.421074787492,37.7928376626584
